method,k,mean_factuality,std_factuality,sem_factuality,n
anchored,0.025,0.44,0.16248076809271922,0.03249615361854384,25
anchored,0.1,0.46,0.13564659966250536,0.027129319932501072,25
anchored,0.5,0.46,0.13564659966250536,0.027129319932501072,25
anchored,1.0,0.36,0.22449944320643647,0.04489988864128729,25
anchored,2.0,0.34,0.23323807579381203,0.04664761515876241,25
anchored,10.0,0.42,0.18330302779823363,0.036660605559646724,25
logit_mixing,0.025,0.28,0.24819347291981714,0.04963869458396343,25
logit_mixing,0.1,0.3,0.24494897427831785,0.04898979485566357,25
logit_mixing,0.5,0.26,0.249799919935936,0.0499599839871872,25
logit_mixing,1.0,0.28,0.24819347291981714,0.04963869458396343,25
logit_mixing,2.0,0.24,0.249799919935936,0.0499599839871872,25
logit_mixing,10.0,0.27,0.244131112314674,0.0488262224629348,25
